file_name,transcription
voice-dataset/angka/angka1.wav,satu
voice-dataset/angka/angka2.wav,dua
voice-dataset/angka/angka3.wav,tiga
voice-dataset/angka/angka4.wav,empat
voice-dataset/angka/angka5.wav,lima
voice-dataset/angka/angka6.wav,enam
voice-dataset/angka/angka7.wav,tujuh
voice-dataset/angka/angka8.wav,delapan
voice-dataset/angka/angka9.wav,sembilan
voice-dataset/fonetik/fonetik1.wav,halo selamat pagi hari ini cuaca di luar sangat cerah
voice-dataset/fonetik/fonetik2.wav,saya sedang mengembangkan aplikasi kecerdasan buatan dari nol
voice-dataset/fonetik/fonetik3.wav,tolong ambilkan buku catatan yang ada di atas meja itu
voice-dataset/fonetik/fonetik4.wav,terima kasih banyak sudah meluangkan waktu untuk mendengarkan
voice-dataset/fonetik/fonetik5.wav,proyek ini membutuhkan dedikasi dan fokus yang tinggi agar berhasil
voice-dataset/huruf/20260601_075628.wav,a
voice-dataset/huruf/20260601_075634.wav,b
voice-dataset/huruf/20260601_075638.wav,c
voice-dataset/huruf/20260601_075643.wav,d
voice-dataset/huruf/20260601_075647.wav,e
voice-dataset/huruf/20260601_075652.wav,f
voice-dataset/huruf/20260601_075657.wav,g
voice-dataset/huruf/20260601_075701.wav,h
voice-dataset/huruf/20260601_075706.wav,i
voice-dataset/huruf/20260601_075712.wav,j
voice-dataset/huruf/20260601_075716.wav,k
voice-dataset/huruf/20260601_075721.wav,l
voice-dataset/huruf/20260601_075725.wav,m
voice-dataset/huruf/20260601_075729.wav,n
voice-dataset/huruf/20260601_075734.wav,o
voice-dataset/huruf/20260601_075738.wav,p
voice-dataset/huruf/20260601_075742.wav,q
voice-dataset/huruf/20260601_075746.wav,r
voice-dataset/huruf/20260601_075750.wav,s
voice-dataset/huruf/20260601_075755.wav,t
voice-dataset/huruf/20260601_075759.wav,u
voice-dataset/huruf/20260601_075803.wav,v
voice-dataset/huruf/20260601_075807.wav,w
voice-dataset/huruf/20260601_075815.wav,x
voice-dataset/huruf/20260601_075821.wav,y
voice-dataset/huruf/20260601_075825.wav,z
voice-dataset/kalimat/kalimat1.wav,satu tambah satu sama dengan dua
voice-dataset/kalimat/kalimat2.wav,satu tambah dua sama dengan tiga
voice-dataset/kalimat/kalimat3.wav,tiga tambah satu sama dengan empat
voice-dataset/kalimat/kalimat4.wav,satu dua tiga sayang semuanya
voice-dataset/kalimatmtk/kalimatmtk1.wav,dua ditambah dua sama dengan empat
voice-dataset/kalimatmtk/kalimatmtk2.wav,lima dikurangi tiga hasilnya dua
voice-dataset/kalimatmtk/kalimatmtk3.wav,tiga dikali dua sama dengan enam
voice-dataset/kalimatmtk/kalimatmtk4.wav,sepuluh dibagi dua sama dengan lima
